source,role,vibe,title,company,salary_min_usd,salary_max_usd,location,url
jobicy,Cybersecurity,0,Senior Platform Security Engineer (100% Remote within Spain),Docplanner,,,Spain,https://jobicy.com/jobs/151520-senior-platform-security-engineer-100-remote-within-spain
jobicy,Engineering,0,Senior AI Solutions Engineer (Python & AWS Bedrock),Oowlish Technology,,,"LATAM,  Argentina,  Brazil,  Mexico",https://jobicy.com/jobs/151507-senior-ai-solutions-engineer-python-aws-bedrock
jobicy,Engineering,0,SDET – Regression Automation Engineer,Oowlish Technology,,,"Argentina,  Brazil,  Mexico",https://jobicy.com/jobs/151503-sdet-regression-automation-engineer
jobicy,Unknown,0,Meta Creative Strategist — Performance Creative,Oowlish Technology,,,Brazil,https://jobicy.com/jobs/151500-meta-creative-strategist-performance-creative
jobicy,Engineering,0,Senior Workday Platform Engineer,Natera,128800,161050,USA,https://jobicy.com/jobs/149595-senior-workday-platform-engineer
jobicy,Engineering,0,Full Stack Web Engineer (Python & React),Oowlish Technology,,,"Argentina,  Brazil,  Mexico",https://jobicy.com/jobs/151496-full-stack-web-engineer-python-react
jobicy,Product / PM,0,"Senior Product Manager, Intelligence",DataGrail,180000,215000,USA,https://jobicy.com/jobs/151527-senior-product-manager-intelligence
jobicy,Cybersecurity,0,Manager of IT Security,"Lakeshore Learning Materials, LLC",123000,185000,USA,https://jobicy.com/jobs/149591-manager-of-it-security
jobicy,Marketing,0,Senior Product Marketing Manager,DataGrail,150000,170000,USA,https://jobicy.com/jobs/151531-senior-product-marketing-manager-3
jobicy,Product / PM,0,Project Manager,Verra Mobility,,,USA,https://jobicy.com/jobs/151512-project-manager-4
jobicy,Engineering,0,"Front End Engineering Manager, Firefox Desktop",Mozilla,149000,220000,Canada,https://jobicy.com/jobs/151502-front-end-engineering-manager-firefox-desktop
jobicy,Support,0,Customer Success Manager,AssetWatch,95000,112000,USA,https://jobicy.com/jobs/149623-customer-success-manager-3
jobicy,Cybersecurity,0,Staff Security Architect,Kraken,,,"EMEA,  LATAM,  Canada,  Europe",https://jobicy.com/jobs/144336-staff-security-architect
jobicy,Engineering,0,"Product Director, Practice Management Software (PMS)",Docplanner,,,"Poland,  Spain",https://jobicy.com/jobs/151515-product-director-practice-management-software-pms
jobicy,Cybersecurity,0,Senior Platform Security Engineer (100% Remote within Poland),Docplanner,,,Poland,https://jobicy.com/jobs/151521-senior-platform-security-engineer-100-remote-within-poland
jobicy,Marketing,0,Head of Marketing,Anagram,175000,200000,USA,https://jobicy.com/jobs/151526-head-of-marketing-3
jobicy,Engineering,0,Software Engineer,FanDuel,,,UK,https://jobicy.com/jobs/151472-software-engineer-8
jobicy,Unknown,0,Background Investigator,CertiK,60000,100000,"Europe,  UK,  USA",https://jobicy.com/jobs/151466-background-investigator
jobicy,Unknown,0,Commercial/Transactional Lawyer,Brain Co.,,,USA,https://jobicy.com/jobs/151479-commercial-transactional-lawyer
jobicy,Unknown,0,Anaplan Systems Architect,Dataiku,152000,190000,USA,https://jobicy.com/jobs/151473-anaplan-systems-architect
jobicy,Unknown,0,AI GTM Program Manager,Bloomreach,,,Slovakia,https://jobicy.com/jobs/151457-ai-gtm-program-manager
jobicy,Cybersecurity,0,Blockchain Security Engineer - (Solidity / Rust / Golang),CertiK,102000,180000,USA,https://jobicy.com/jobs/151470-blockchain-security-engineer-solidity-rust-golang
jobicy,Sales / SDR,0,Sales Engineer,Brain Co.,,,USA,https://jobicy.com/jobs/151477-sales-engineer-3
jobicy,Design (UI/UX),0,Builder/Architect/Engineer Expert Consultant (Part-Time Contractor),Brain Co.,,,USA,https://jobicy.com/jobs/151474-builder-architect-engineer-expert-consultant-part-time-contractor
jobicy,Unknown,0,President of Government Strategy & Partnerships,Brain Co.,,,USA,https://jobicy.com/jobs/151471-president-of-government-strategy-partnerships
jobicy,Unknown,0,"Account Director, Defence and Intel (Canada)",TRM Labs,,,Canada,https://jobicy.com/jobs/151467-account-director-defence-and-intel-canada
jobicy,Unknown,0,Senior Performance Marketer (Full Remote - Worldwide),EverAI,65000,105000,Anywhere,https://jobicy.com/jobs/151456-senior-performance-marketer-full-remote-worldwide
